ablation_name,seed,label_shuffle,random_embeddings,loss_selection,num_folds,mean_pos_weight,mean_neg_weight,n_samples,n_pos,n_neg,mean_train_size,mean_test_size,train_accuracy_mean,train_accuracy_std,test_accuracy,test_auroc,test_auprc,test_prevalence,hidden_dim
embedding_hidden_64,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6394378441031585,0.019552771148228492,0.5656167979002624,0.46593093186186374,0.30799219931899474,0.3333333333333333,64
embedding_hidden_64,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6269599793940565,0.0275331373091952,0.5971128608923885,0.5171740343480687,0.37631879650695754,0.3333333333333333,64
embedding_hidden_64,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6358301941466242,0.03292563354911125,0.60498687664042,0.5241102982205964,0.3515875022397664,0.3333333333333333,64
embedding_hidden_64,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.610542837824785,0.02328597272540617,0.5905511811023622,0.5172825345650691,0.3512523333753938,0.3333333333333333,64
embedding_hidden_64,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6308831578608455,0.04150087431395224,0.5984251968503937,0.5013485026970054,0.33252268979891425,0.3333333333333333,64
random_embedding,42,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5554541356772594,0.017672777539324273,0.5196850393700787,0.5158100316200632,0.33949860061286563,0.3333333333333333,
random_embedding,43,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5521845519817121,0.009882859158003238,0.5118110236220472,0.5104160208320416,0.3408521419456606,0.3333333333333333,
random_embedding,44,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5652934737113235,0.009196633833661868,0.5,0.49621024242048484,0.3299747868547249,0.3333333333333333,
random_embedding,45,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5508564345278341,0.024016256609629354,0.5039370078740157,0.4829189658379317,0.31418140408480577,0.3333333333333333,
random_embedding,46,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.560346437425545,0.014564730289038388,0.4658792650918635,0.45845991691983384,0.31021200078684413,0.3333333333333333,
random_embedding,47,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5751134936733313,0.02973494511427012,0.479002624671916,0.47329344658689315,0.31163161594778854,0.3333333333333333,
random_embedding,48,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5577545960913101,0.007187225758494517,0.5039370078740157,0.4955514911029822,0.3429832235705394,0.3333333333333333,
random_embedding,49,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5537976109984224,0.017955956018590426,0.4868766404199475,0.48310496620993243,0.3251836206099508,0.3333333333333333,
random_embedding,50,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5426832802086352,0.01765745759517999,0.5223097112860893,0.5281248062496124,0.3447112271470019,0.3333333333333333,
random_embedding,51,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5610451076982517,0.018209832002853567,0.531496062992126,0.5358128216256433,0.3597926259629092,0.3333333333333333,
label_shuffle,42,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5557825429022183,0.010474021515370392,0.5196850393700787,0.5014415028830058,0.34932973791047794,0.3333333333333333,
label_shuffle,43,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5688866351138155,0.009870902101134012,0.5354330708661418,0.5296670593341186,0.37500918929377036,0.3333333333333333,
label_shuffle,44,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5495460253066743,0.011249111745965665,0.49081364829396323,0.476742203484407,0.3070822990715787,0.3333333333333333,
label_shuffle,45,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.550846775491806,0.010059424752224384,0.48556430446194226,0.4620249240498481,0.3152834069292161,0.3333333333333333,
label_shuffle,46,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5610193502688431,0.019577212703868092,0.46981627296587924,0.45366265732531463,0.3064103010953649,0.3333333333333333,
label_shuffle,47,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5672590875430632,0.00641962267824886,0.5026246719160105,0.48529047058094116,0.3281036875316658,0.3333333333333333,
label_shuffle,48,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5590585659551177,0.010167078463931068,0.494750656167979,0.4788269576539153,0.3173278067278247,0.3333333333333333,
label_shuffle,49,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5541340674200714,0.011400531213392098,0.4921259842519685,0.47289044578089157,0.3172701121467856,0.3333333333333333,
label_shuffle,50,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5689091728645481,0.01619592945361519,0.5118110236220472,0.4896847293694587,0.3632145293686153,0.3333333333333333,
label_shuffle,51,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5521748929456839,0.01330538591846065,0.5183727034120735,0.5062775125550251,0.34335720071702935,0.3333333333333333,
weighted_bce,42,False,False,weighted_bce,5,2.0,1.0,762,254,508,609.6,152.4,0.5751328117453878,0.007708546187211124,0.5498687664041995,0.5609151218302436,0.38647328415831206,0.3333333333333333,
